word,interpretation
абсолютний,"Безвідносний, узятий поза зв'язком, без порівняння з чим-небудь; безумовний"
безвідносний,"Який зберігає своє значення в будь-яких умовах, незалежно від інших предметів і явищ"
абстрактний,Який виник у результаті абстрагування
умоглядний,"Який ґрунтується на спогляданні, абстрактному уявленні про дійсність"
аванс,"Частина грошей (або продуктів), яка дається наперед у рахунок майбутньої плати за роботу, товар і т. ін"
завдаток,"Наперед видана частина тієї грошової суми, яка має бути виплачена за що-небудь, щоб забезпечити виконання умови"
задаток,"Те саме, що[B] завда́ток[/B]"
автомат,"Про людину, що діє механічно, машинально"
робот,"Людина, яка діє несвідомо, автоматично"
машина,"Про людину, що діє автоматично, несвідомо"
автоматичний,"Який відбувається незалежно від волі, несвідомо; машинальний"
автомобіль,Самохідна машина з двигуном внутрішнього згоряння для перевезення пасажирів і вантажів по безрейкових дорогах
машина,"Транспортний засіб (автомобіль, танк, літак і т. ін.), що рухається завдяки певному механізмові"
авто,"Те саме, що [B]автомобі́ль[/B]"
чортопхайка,"Автомашина, мотоцикл і т. ін"
автономія,"Право установи, підприємства, організації самостійно розв'язувати певні питання"
самоврядування,"Форма управління, за якого суспільство, певна організація, господарська чи адміністративна одиниця тощо має право самостійно вирішувати питання внутрішнього керівництва"
авторитет,"Загальновизнане значення, вплив, поважність (особи, організації, колективу, теорії і т. ін.)"
вага,"Значення, вплив"
престиж,"Авторитет, вплив, який має хто-, що-небудь"
агонія,Останні прояви життєвих функцій організму перед смертю
конання,знаходження в передсмертній агонії
адвокат,"Юрист, що захищає обвинуваченого або веде якусь справу в суді, а також дає поради з правових питань; захисник, оборонець"
захисник,"Той, хто відстоює на суді інтереси обвинуваченого; оборонець"
оборонець,"Той, хто відстоює інтереси обвинувачуваного під час судового процесу; адвокат"
оборонник,"Те саме, що[B] оборо́нець[/B]"
аеродром,"Місце стоянки, зльоту й посадки літальних апаратів"
летовище,Аеродром
ажіотаж,"Велике збудження, хвилювання, боротьба інтересів навколо якої-небудь справи, питання"
гарячка,Стан великого збудження
лихоманка,Метушливо гарячкова діяльність у якій-небудь галузі
бум,"Штучне пожвавлення, ажіотаж, створювані з метою підвищення грошового курсу"
акомпанемент,"Музичний супровід до сольної партії голосу або інструмента, а також до основної теми, мелодії музичного твору"
супровід,"Гра на музичному інструменті, спів, які супроводжують чию-небудь гру або спів"
провід,"Те саме, що [B]акомпанеме́нт[/B] 1"
акомпанувати,Виконувати акомпанемент (у 1 знач.)
супроводжувати,Вести супровід (у 3 знач.)
пригравати,"Те саме, що [B]акомпанува́ти[/B]"
провадити,Акомпанувати
аконіт,"Трав'яниста отруйна рослина з жовтими, синіми або фіолетовими квітками; тоя"
тоя,"Те саме, що [B]аконі́т[/B]"
лабуштан,Тоя
актуальний,Важливий для даного часу
насущний,"Який має важливе життєве значення, украй необхідний"
животрепетний,"Який стосується питань, найважливіших на даному етапі; актуальний"
злободенний,"Який привертає увагу, цікавий для всіх у даний час, тепер"
наболілий,"Давно назрілий, який вимагає невідкладного розв'язання"
пекучий,"(який особливо турбує, хвилює, вимагаючи якнайшвидшого розв'язання)"
алегоричний,Який має в собі алегорію
езопівський,"Алегоричний, сповнений недомовок, натяків для замаскування прямого змісту висловлюваного"
інакомовний,"Те саме, що [B]алегори́чний[/B]"
емблематичний,"Умовний, алегоричний"
алкогольний,Який містить у собі алкоголь
спиртний,"Пригот. на спирті, із спиртом"
алое,"Багаторічна тропічна й субтропічна трав'яниста рослина з довгастим м'ясистим листям, укритим по краю шипами; використовується в медицині; столітник"
столітник,"Народна назва довголітніх рослин алое, агави, опунції і т. ін., що в кімнатних умовах цвітуть один раз у житті або з перервою в кілька років"
алфавіт,"Сукупність літер, прийнятих у писемності якої-небудь мови і розміщених у певному усталеному порядку; азбука, абетка"
абетка,"Сукупність літер, прийнятих у писемності якої-небудь мови і розміщених у певному усталеному порядку; алфавіт, азбука"
азбука,"Сукупність літер якого-небудь письма, розміщених у встановленому порядку; алфавіт, абетка"
алфавітний,(пов'язаний з алфавітом
абетковий,Прикм. до [B]абе́тка[/B] 1
азбучний,"Прикм. до[B] а́збука[/B] 1; алфавітний, абетковий"
альпініст,"Той, хто займається альпінізмом"
горосходжувач,"Те саме, що [B]альпіні́ст[/B]"
альт,Струнний інструмент низького регістру
віола,"Смичковий чотириструнний музичний інструмент, що має лад, октавою вищий від віолончелі та квінтою нижчий від скрипки; альт"
